INC_PCT_LO,DEP_STAT_PCT_IND,DEP_INC_PCT_LO,IND_INC_PCT_LO,PAR_ED_PCT_1STGEN,INC_PCT_M1,INC_PCT_M2,INC_PCT_H1,INC_PCT_H2,DEP_INC_PCT_M1,DEP_INC_PCT_M2,DEP_INC_PCT_H1,DEP_INC_PCT_H2,IND_INC_PCT_M1,IND_INC_PCT_M2,IND_INC_PCT_H1,IND_INC_PCT_H2
0.429020312,0.1328694872,0.3781545231,0.7609797297,0.3174794785,0.1875210414,0.1463359892,0.1070586915,0.1300639659,0.1974893232,0.1565937621,0.1195806911,0.1481817005,0.1224662162,0.0793918919,0.0253378378,0.0118243243
0.9119868045,0.8801061828,0.8200773861,0.9245073062,0.6014551334,0.0575758357,0.0225251926,0.0058503647,0.0020618025,0.0947979364,0.0552450559,0.0212811694,0.0085984523,0.0525051978,0.018067879,0.0037482796,0.0011713374
0.8694516971,0.7650130548,0.8222222222,0.8839590444,0.6279863481,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6441627565,0.5638350025,0.4431599229,0.7996522171,0.3980191642,0.1383150081,0.0942643042,0.062119196,0.0611387352,0.1520552344,0.1467565832,0.1234746307,0.1345536288,0.1276860017,0.0536579307,0.0146565644,0.0043472861
0.8537735849,0.7264150943,0.775862069,0.8831168831,0.5568181818,0.1061320755,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.8266033254,0.3990498812,0.7944664032,0.875,0.4773413897,0.1282660333,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6577713668,0.5456184638,0.5484126984,0.7488433576,0.4680497925,0.186440678,0.0984493329,0.037865128,0.0194734944,0.2238095238,0.1293650794,PrivacySuppressed,PrivacySuppressed,0.1553205552,0.0727032386,PrivacySuppressed,PrivacySuppressed
0.606557377,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.1967213115,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
0.6883821263,0.4844992296,0.5775944524,0.8062587457,0.4771909204,0.1570416025,0.0906625578,0.0396918336,0.0242218798,0.1932089909,0.1245815399,0.0616929699,0.0429220469,0.1185599796,0.0545732095,0.0162829157,0.0043251495
0.6776859504,0.4545454545,PrivacySuppressed,PrivacySuppressed,0.3738317757,0.1570247934,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
