UGDS,UG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,UGDS_MEN,UGDS_WOMEN
170.0,,0.6176,0.3118,0.0176,0.0059,0.0059,0.0,0.0059,0.0059,0.0294,,,,,,,,,,,,,0.5529,0.4471
1056.0,,0.0748,0.9034,0.017,0.0019,0.0,0.0,0.0,0.0019,0.0009,,,,,,,,,,,,,0.5398,0.4602
819.0,,0.0647,0.8742,0.044000000000000004,0.0024,0.0,0.0,0.0,0.0,0.0147,,,,,,,,,,,,,0.5849,0.4151
1230.0,,0.3951,0.5756,0.0106,0.013000000000000001,0.0,0.0,0.0024,0.0008,0.0024,,,,,,,,,,,,,0.5057,0.4943
15025.0,,0.5132,0.3386,0.0329,0.0078,0.0082,0.0011,0.0244,0.0282,0.0455,,,,,,,,,,,,,0.3884,0.6116
2588.0,,0.0035,0.7736,0.0035,0.0015,0.0004,0.0,0.0,0.0027,0.2148,,,,,,,,,,,,,0.4258,0.5742
90.0,,0.4333,0.1222,0.0667,0.0222,0.0,0.0,0.0444,0.0,0.3111,,,,,,,,,,,,,0.8111,0.1889
3210.0,,0.8009,0.1573,0.013999999999999999,0.0034,0.0016,0.0,0.0097,0.0,0.0131,,,,,,,,,,,,,0.3654,0.6346
12865.0,,0.5747,0.0358,0.0761,0.0778,0.0653,0.0086,0.098,0.0181,0.0457,,,,,,,,,,,,,0.4236,0.5764
27.0,,0.8519,0.0,0.037000000000000005,0.0,0.0741,0.0,0.037000000000000005,0.0,0.0,,,,,,,,,,,,,0.5556,0.4444
5536.0,,0.4259,0.021,0.0522,0.0126,0.1284,0.0027,0.0401,0.011000000000000001,0.306,,,,,,,,,,,,,0.4429,0.5571
1428.0,,0.4748,0.0119,0.0623,0.0357,0.1029,0.0147,0.0686,0.0049,0.2241,,,,,,,,,,,,,0.348,0.652
275.0,,0.5309,0.0291,0.0364,0.0255,0.1855,0.0109,0.0945,0.0,0.0873,,,,,,,,,,,,,0.3527,0.6473
889.0,,0.5388,0.0112,0.0427,0.0157,0.1879,0.0112,0.0529,0.0,0.1395,,,,,,,,,,,,,0.7885,0.2115
3256.0,,0.4373,0.0599,0.3093,0.0123,0.0405,0.0577,0.0436,0.0,0.0393,,,,,,,,,,,,,0.2908,0.7092
479.0,,0.38,0.096,0.1002,0.1983,0.1733,0.0084,0.0334,0.0,0.0104,,,,,,,,,,,,,0.1378,0.8622
4102.0,,0.3162,0.4405,0.0763,0.0017,0.0207,0.0046,0.0373,0.0,0.1026,,,,,,,,,,,,,0.2626,0.7374
83.0,,0.3253,0.0843,0.1566,0.0,0.0241,0.0,0.0241,0.0,0.3855,,,,,,,,,,,,,0.7831,0.2169
25.0,,0.76,0.04,0.12,0.0,0.0,0.04,0.04,0.0,0.0,,,,,,,,,,,,,0.16,0.84
126.0,,0.2143,0.0873,0.5794,0.0159,0.0873,0.0079,0.0,0.0,0.0079,,,,,,,,,,,,,0.0714,0.9286
1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,1.0
89.0,,0.0449,0.0562,0.1461,0.0225,0.6854,0.0449,0.0,0.0,0.0,,,,,,,,,,,,,0.4607,0.5393
266.0,,0.4737,0.2481,0.1729,0.0226,0.0113,0.0038,0.0414,0.0,0.0263,,,,,,,,,,,,,0.8872,0.1128
617.0,,0.2674,0.0616,0.5754,0.0113,0.0713,0.0,0.0049,0.0,0.0081,,,,,,,,,,,,,0.1378,0.8622
