UNITID,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEP_DEBT_MDN,IND_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,CUML_DEBT_P90,CUML_DEBT_P75,CUML_DEBT_P25,CUML_DEBT_P10,LOAN_EVER
445726,20894.5,6334,13000,13875,12750,13000,13000,13000,13292,13000,13291,25208,23125,6334,3167,0.817572892
445735,25000,7500,25000,25000,22500,20000,25000,24949.5,25000,25000,23712,37500,28418,12500,8037,PrivacySuppressed
445744,11875,6334,9500,10105.5,13872,9500,9500,9500,11317.5,9500,9500,20000,14070,7105,3167,0.88597973
445753,9970.5,6194,9275,9497,9500,8871,9500,9440,8973,9284,9481,21326,13554,6334,3167,0.859097127
445762,20000,4750,14750,PrivacySuppressed,PrivacySuppressed,11850.5,15750,PrivacySuppressed,PrivacySuppressed,10000,18851.5,26250,20000,4750,3000,0.803921569
445771,9500,4750,9500,9500,7370,9500,9500,9500,9500,9500,9500,11071,9500,5926,4000,0.814404432
445780,14750,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,20000,4750,PrivacySuppressed,0.6875
445799,16063,4750,13625,13625,12000,12428.5,14750,11188,12813,13625,12813,23938,18688,5935,3317,0.85786802
445814,11819,4750,9500,9500,9111,9500,9500,9500,9500,9500,9500,17375,15333,5846,3166,0.842637823
445841,10358,4750,6836,7068,5493,5500,8002,6351,9500,6429.5,6390,14094,11003,4750,3583,0.884083045
445850,10358,4750,6836,7068,5493,5500,8002,6351,9500,6429.5,6390,14094,11003,4750,3583,0.884083045
445869,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,
445911,12979,4750,11129,11907,11750,11228,11250,10583,12000,11250,11250,20000,16878.5,7600,4541,0.914151576
445920,27889,9500,19000,20832,16832,16000,22333,19889,17039,20000,18632,48000,33764,6800,3167,0.891630901
445948,7034,3507,6850,6925,5500,6438,6875,7000,6438,6850,6850,9500,8174,4750,3069,0.892008639
445957,7916,3958,7916,7916,7916,4582,7916,7916,7916,7916,7916,7916,7916,4582,2291,0.883333333
445984,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
445993,8654,3443,6333,7005,9384,6222,6767,6432,6333,6608,6333,12989,9715,4000,2750,0.863270778
446002,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
446039,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,
446048,22500,5500,13500,14234.5,11125,12000,24508.5,12763.5,12640,12750,12530,32000,24000,5500,2750,0.915611814
446057,PrivacySuppressed,PrivacySuppressed,9057,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,9030.5,5522,PrivacySuppressed,9057,5213,PrivacySuppressed,0.692307692
446075,5237,3075,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,5500,4840,PrivacySuppressed,PrivacySuppressed,5180,5180,PrivacySuppressed,6500,3500,PrivacySuppressed,0.75
446084,8636,4750,8123,PrivacySuppressed,PrivacySuppressed,9167,8325,PrivacySuppressed,PrivacySuppressed,8697,8255.5,12270,9500,6213,4145,0.880530974
446093,9500,4750,9500,PrivacySuppressed,PrivacySuppressed,8942,9500,9500,9500,9500,9500,9500,9500,6000,4750,0.913793103
446109,12703.5,4505.5,8481.5,PrivacySuppressed,PrivacySuppressed,7600,9500,8828,12318,9352,8940,14750,14750,4750,2375,0.866108787
446118,17126.5,4750,10287.5,10296,10296,7600,14562,11022,9500,10296,10439.5,17246,17246,7045,4400,0.923353293
446127,19000,8030,14777,14652.5,14167,12667,15042,14750,13354,14777,14250.5,27583,22917,9167,3834,0.909810127
446136,9500,4750,9500,PrivacySuppressed,PrivacySuppressed,9498,9500,9500,9500,9500,9500,11829,9500,6960,4750,0.875373134
446145,PrivacySuppressed,PrivacySuppressed,7563,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,7563,7250,PrivacySuppressed,9500,5500,PrivacySuppressed,0.85915493
446163,PrivacySuppressed,3583.5,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.229166667
446190,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
446206,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
