city_id,city_name,state_id,region_id,latitude,longitude
1522,Lyndonville,50,1,44.53433,-72.024563
1523,Lynnwood,53,8,47.816742,-122.327483
1524,Lynwood,6,8,33.931919,-118.201182
1525,Machias,23,1,44.709895,-67.456534
1526,Macomb,17,3,40.465621,-90.685235
1527,Macon,13,5,32.831709,-83.650114
1528,Macy,31,4,42.116741,-96.351802
1529,Madera,6,8,36.951505,-120.057761
1530,Madison,12,5,30.473871,-83.421873
1531,Madison,34,2,40.757026,-74.425825
1532,Madison,46,4,44.0127,-97.109609
1533,Madison,47,5,36.252997,-86.683396
1534,Madison,55,3,43.12078,-89.328311
1535,Madison,1,5,34.6813,-86.752491
1536,Madison,28,5,32.488133,-90.124798
1537,Madison,18,3,NULL,NULL
1538,Madison Heights,26,3,42.526138,-83.106727
1539,Madisonville,21,5,37.362661,-87.512137
1540,Madisonville,47,5,35.557691,-84.364631
1541,Magnolia,5,5,33.291195,-93.235087
1542,Mahnomen,27,4,47.320446,-95.953499
1543,Mahwah,34,2,41.007523,-74.116384
1544,Maitland,12,5,28.629921,-81.397179
1545,Majuro,68,9,7.10274,171.378442
1546,Malden,25,1,42.427591,-71.066818
1547,Malibu,6,8,34.041912,-118.707677
1548,Malta,17,3,41.938805,-88.879739
1549,Malvern,5,5,34.378745,-92.821416
1550,Malvern,42,2,40.052845,-75.521311
1551,Manassas,51,5,38.79441,-77.514981
1552,Manati,72,9,18.434072,-66.478655
1553,Manchester,9,1,41.760484,-72.562577
1554,Manchester,33,1,42.971648,-71.470688
1555,Manchester,21,5,37.13934,-83.771098
1556,Manchester,47,5,35.48846,-86.094281
1557,Mangilao,66,9,13.440649,144.808944
1558,Manhattan,20,4,39.179536,-96.563855
1559,Manitowoc,55,3,44.071038,-87.742961
1560,Mankato,27,4,44.166485,-93.990744
1561,Mansfield,39,3,40.798777,-82.581582
1562,Mansfield,42,2,41.806975,-77.074178
1563,Manteca,6,8,37.788987,-121.216183
1564,Maplewood,27,4,45.032098,-93.016493
1565,Margate,12,5,26.244517,-80.194764
1566,Marianna,12,5,30.790647,-85.231946
1567,Marietta,13,5,33.932104,-84.514156
1568,Marietta,39,3,39.417638,-81.450038
1569,Marion,1,5,32.630526,-87.316127
1570,Marion,18,3,40.518495,-85.661991
1571,Marion,37,5,35.65622,-81.960896
1572,Marion,39,3,40.579256,-83.090763
1573,Marlboro,50,1,42.839603,-72.736552
1574,Marlborough,25,1,42.36838,-71.564771
1575,Marlton,34,2,39.91018,-74.939291
1576,Marquette,26,3,46.558037,-87.403857
1577,Mars,42,2,40.69477,-80.032691
1578,Mars Hill,37,5,35.825858,-82.550859
1579,Marshall,27,4,44.455023,-95.75983
1580,Marshall,29,4,39.108655,-93.190236
1581,Marshall,48,6,32.554545,-94.374337
1582,Marshalltown,19,4,42.014681,-92.913104
1583,Martin,47,5,36.340338,-88.864211
1584,Martinsburg,54,5,39.5328,-77.978583
1585,Martinsville,51,5,36.7379,-79.871136
1586,Marylhurst,41,8,45.398174,-122.647755
1587,Marysville,6,8,39.125995,-121.539316
1588,Marysville,26,3,42.91731,-82.481754
1589,Maryville,29,4,40.352706,-94.884341
1590,Maryville,47,5,35.751969,-83.963853
1591,Mason City,19,4,43.149545,-93.238504
1592,Matthews,37,5,35.119797,-80.700592
1593,Mattoon,17,3,39.43287,-88.379229
1594,Mattydale,36,2,43.1063,-76.148481
1595,Maumee,39,3,41.58402,-83.672151
1596,Mayaguez,72,9,18.205329,-67.112632
1597,Mayfield Hts,39,3,41.517999,-81.450552
1598,Mays Landing,34,2,39.461387,-74.682286
1599,Maysville,21,5,38.627026,-83.805641
1600,Mayville,38,4,47.504671,-97.322545
1601,McAlester,40,6,34.924173,-95.745999
1602,McAllen,48,6,26.186109,-98.207067
1603,McHenry,24,2,39.560658,-79.343267
1604,McKees Rocks,42,2,40.471404,-80.090843
1605,McKeesport,42,2,40.344474,-79.827262
1606,McKenzie,47,5,36.139271,-88.516162
1607,McKinney,48,6,33.16241,-96.63894
1608,McLean,51,5,38.91927,-77.211911
1609,McMinnville,41,8,45.201333,-123.200464
1610,McMinnville,47,5,35.699836,-85.742809
1611,McPherson,20,4,38.357964,-97.667373
1612,Meadville,42,2,41.648068,-80.146922
1613,Mebane,37,5,36.098388,-79.276499
1614,Mechanicsburg,42,2,40.15867,-76.988492
1615,Medford,25,1,42.42559,-71.110848
1616,Medford,41,8,42.328085,-122.863924
1617,Media,42,2,39.966724,-75.39308
1618,Medina,39,3,41.155104,-81.901592
1619,Mehlville,29,4,38.499384,-90.333587
1620,Melbourne,5,5,36.053031,-91.896355
1621,Melbourne,12,5,28.064503,-80.624628
1622,Melfa,51,5,37.64046,-75.750802
1623,Melrose Park,17,3,41.906487,-87.831253
1624,Melrose Park,42,2,40.065782,-75.133025
1625,Melville,36,2,40.779377,-73.412643
1626,Memphis,47,5,35.138415,-90.027501
1627,Mena,5,5,34.590793,-94.2197
1628,Mendenhall,28,5,NULL,NULL
1629,Mendota Heights,27,4,44.86523,-93.163291
1630,Menomonie,55,3,44.88861,-91.929461
1631,Mentor,39,3,41.714918,-81.341918
1632,Mequon,55,3,43.254217,-87.916628
1633,Merced,6,8,37.335348,-120.476726
1634,Mercedita,72,9,18.007388,-66.578498
1635,Mercer,42,2,41.250851,-80.248614
1636,Meriden,9,1,41.524385,-72.763231
1637,Meridian,28,5,32.368097,-88.733604
1638,Meridian,16,7,43.592582,-116.405376
1639,Merrillville,18,3,41.473702,-87.326134
1640,Merrimack,33,1,42.807701,-71.48364
1641,Merrionette Park,17,3,41.683089,-87.701912
1642,Merritt Island,12,5,28.394053,-80.70372
1643,Mesa,4,6,33.39207,-111.855281
1644,Mesquite,48,6,32.815679,-96.65947
1645,Metairie,22,5,30.002779,-90.172771
1646,Mexico,36,2,43.457841,-76.259308
