UNITID,C100_4,C100_L4,C150_4,C150_L4,C150_4_POOLED,C150_L4_POOLED,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,C150_L4_WHITE,C150_L4_BLACK,C150_L4_HISP,C150_L4_ASIAN,C150_L4_AIAN,C150_L4_NHPI,C150_L4_2MOR,C150_L4_NRA,C150_L4_UNKN,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN
102553,0.0802,,0.2504,,0.252541205,,0.3015,0.1087,0.2206,0.2756,0.061,,,0.5455,0.1948,,,,,,,,,,0.7164,,0.4549,,0.2647
102580,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,0.2857
102614,0.1494,,0.3224,,0.315570823,,0.3914,0.2667,0.3125,0.2778,0.1139,0,,0.7143,0.3284,,,,,,,,,,0.7756,,0.4857,,0.255
102632,0.0367,,0.1688,,0.156750746,,0.2208,,0.1667,0.0769,0.1087,,,,0.1667,,,,,,,,,,0.7167,,0.6364,,0.1996
102669,0.5333,,0.6,,0.514833663,,0.6863,0,0,0,,,1,,0,,,,,,,,,,0.7742,,1,,0.5297
102711,,0.7703,,0.7703,,0.846055789,,,,,,,,,,0.9021,0.6364,0.7895,1,0.5818,0.6667,0.8571,,0.7273,,1,,1,0.0664
102845,0.2364,,0.4582,,0.400148336,,0.4912,0.2642,0.5806,0.3056,0.2933,0.3333,0.5,,0.5517,,,,,,,,,,,,,,0.7503
103501,,0.7221,,0.7221,,0.707589494,,,,,,,,,,0.7714,0.7805,0.68,0.7297,0.6386,0.7143,0.7097,,0.3333,,0.7941,,,0.786
103644,0.1379,,0.3032,,0.307877464,,0.3062,0.2067,0.457,0.4231,0.3553,0,0.1429,1,0.2968,,,,,,,,,,1,,,,0.7151
103723,0.3608,,0.4305,,0.404930282,,0.5128,0.4,0.383,0.4286,0.24,,0.25,,0.4528,,,,,,,,,,,,,,0.8228
103732,,0,,0.6667,,0.641792537,,,,,,,,,,,,,,,,,,,,0.8,,1,0.5873
103741,,0,,0.5672,,0.547626984,,,,,,,,,,,,,,,,,,,,0.6842,,0.5714,0.6615
103778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
103787,0,,0.1765,,0.387773469,,0.5,,,,0.1538,0,,,,,,,,,,,,,0.4286,,,,0.5375
103811,,0.0568,,0.4775,,0.58006044,,,,,,,,,,,,,,,,,,,,,,,0.6477
103893,,0.2178,,0.7117,,0.7117,,,,,,,,,,0.6742,0.3,0.7432,1,0.7742,1,0.6667,,0.3333,,0.7727,,,0.4754
103909,,0.1084,,0.6993,,0.690014571,,,,,,,,,,0.6718,0.6818,0.8,1,0.6429,0.5,0.8,,0.4,,0.79,,,0.5455
103927,,0.0742,,0.7031,,0.653509577,,,,,,,,,,0.7455,0.2857,0.7241,,0.5833,,1,,0.4286,,0.7738,,,0.5384
103945,0.2667,,0.4641,,0.465120349,,0.475,0.3333,0.7,,0.438,,1,,0.25,,,,,,,,,,0.5,,,,0.8592
103954,,0.4,,0.55,,0.591842857,,,,,,,,,,,,,,,,,,,,0.6667,,,0.4655
103963,,0.4638,,0.5168,,0.521452033,,,,,,,,,,,,,,,,,,,,0.6688,,,0.7592
104090,0.2157,,0.4705,,0.468921118,,0.4277,0.3175,0.5718,0.6667,0.619,,,,0.4444,,,,,,,,,,0.4228,,,,0.6783
104151,0.428,,0.6343,,0.613703829,,0.6394,0.4916,0.6079,0.7317,0.3571,,,0.6831,0.7,,,,,,,,,,0.8609,,0.4286,,0.4527
104160,,0.0531,,0.1648,,0.17008859,,,,,,,,,,0.2061,0.1786,0.1507,0.2857,0.3333,0.3333,0,0.1493,0.125,,0.6043,,0.4055,0.0469
104179,0.4006,,0.6026,,0.608205023,,0.6194,0.4523,0.5421,0.6997,0.3,0.8333,0.6084,0.7047,0.6,,,,,,,,,,0.8189,,0.6273,,0.4055
104188,0.1321,,0.9623,,0.915673494,,1,0,1,,,,,,1,,,,,,,,,,0.7692,,0.6667,,0.4292
104346,,0.1598,,0.1774,,0.179763712,,,,,,,,,,0.1638,0.2118,0.1592,0.0833,0.1556,0.1667,0.225,0.8333,0.1842,,0.4779,,0.3278,0.168
104364,0.1,,0.3158,,0.278162914,,0.3488,0.2727,0.32,0,0.1429,,,,0.5,,,,,,,,,,1,,,,0.7895
104391,,0.3529,,0.6765,,0.634,,,,,,,,,,,,,,,,,,,,0.9529,,,0.6107
104425,,0.123,,0.2304,,0.205831681,,,,,,,,,,0.2365,0.1875,0.2154,0.3333,0.2,0,0.2222,1,0.4545,,0.5607,,0.3592,0.0721
104434,,0.0435,,0.6957,,0.642861905,,,,,,,,,,,,,,,,,,,,0.7241,,,0.6786
104443,,0.0313,,0.5938,,0.636368687,,,,,,,,,,,,,,,,,,,,0.6667,,0.8,0.7143
104504,,0.7753,,0.809,,0.800004364,,,,,,,,,,,,,,,,,,,,0.7561,,0.8077,0.819
104568,,0.8056,,0.8194,,0.797336545,,,,,,,,,,,,,,,,,,,,0.7013,,0.8193,0.6495
104577,,0.2975,,0.3582,,0.288558085,,,,,,,,,,0.3929,0.3636,0.3696,0.25,0.2203,0.6667,0.1,0.2727,0.2059,,0.5602,,0.4408,0
104586,0.3462,,0.5841,,0.587722822,,0.5938,0,0.413,0.75,0.6667,,,0.8125,0.5484,,,,,,,,,,0.8217,,0.6,,0.5189
104665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104708,,0.0623,,0.1493,,0.136251706,,,,,,,,,,0.1823,0.0824,0.1341,0.1429,0.0417,0.1667,0.1111,0.2667,0.1182,,0.597,,0.3728,0.1784
104717,0.1818,,0.2788,,0.288827437,,0.4545,0.1818,0.1429,,0.5,,,0.6,0.2245,,,,,,,,,,0.6236,,0.3058,,0.6189
104911,,0.4865,,0.5721,,0.593896507,,,,,,,,,,,,,,,,,,,,0.6269,,,0.7346
105145,,0.1057,,0.1748,,0.154306173,,,,,,,,,,0.2105,0.0968,0.2087,0.2,0,0.5,0,1,0.0588,,0.5599,,0.3571,0.2189
105154,,0.0639,,0.1433,,0.133729739,,,,,,,,,,0.1747,0.055,0.1168,0.2576,0.0851,0.0909,0.0833,0.186,0.137,,0.5942,,0.3708,0.2207
105163,,,0.2969,,0.26052605,,0.375,0.25,0.2069,,1,,,,0.3333,,,,,,,,,,,,,,0.7311
105172,0.1429,,0.3038,,0.275450299,,0.2857,0.25,0.4348,0,0.1875,,,,,,,,,,,,,,,,,,0.8012
105206,,0.1038,,0.1154,,0.147866537,,,,,,,,,,0.114,0.125,0.119,,0,0,0.1429,,0.3333,,0.4957,,0.364,0.221
105215,,0.3492,,0.6446,,0.652551482,,,,,,,,,,0.6564,0.3913,0.6512,0.75,0.6875,0.6667,0.5965,1,0.6034,,0.7518,,,0.6014
105297,,,0.1487,,0.092841429,,,0,0,,0.1497,,,,,,,,,,,,,,0.8,,,,0
105330,0.3319,,0.5157,,0.504749608,,0.5404,0.4237,0.4536,0.4747,0.3361,0.4545,0.5833,0.5676,0.4375,,,,,,,,,,0.7364,,0.6184,,0.5376
105349,,0.0508,,0.0508,,0.082385768,,,,,,,,,,0.0702,,0,0,0,,0,,0.1053,,0.4259,,0.2835,0
105367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6203
105428,,0.0466,,0.1229,,0.115112067,,,,,,,,,,0.1811,0.0444,0.1275,0.1538,0.0652,0,0,0.5,0.1471,,0.5457,,0.3115,0.2621
105482,,0.7193,,0.7544,,0.731497222,,,,,,,,,,,,,,,,,,,,,,,0.8591
105525,,0.0556,,0.111,,0.094353011,,,,,,,,,,0.1311,0.075,0.0985,0.1807,0.0826,0.0833,0.0291,0.2424,0.0921,,0.5824,,0.3739,0.1274
105534,,,0.6602,,0.641899401,,0.669,0.4684,0.6742,0.8148,0.5806,,0.6538,,0.6585,,,,,,,,,,0.7391,,,,0.639
105543,,0.276,,0.6629,,0.679507375,,,,,,,,,,0.6559,0.619,0.6542,1,0.6737,1,1,1,0.5529,,0.6833,,,0.663
105589,0.1685,,0.3483,,0.360746203,,0.3846,0,0,0,0,,0.3333,,0,,,,,,,,,,0.675,,,,0.6073
105659,,0.5204,,0.6447,,0.667486461,,,,,,,,,,0.6549,0.5283,0.6622,0.875,0.5833,1,0.6522,1,0.6667,,0.7214,,,0.6794
105668,,0.0372,,0.0442,,0.10090815,,,,,,,,,,0.0486,0.0245,0.0847,0.1667,0,,0,,0.04,,0.25,,0.225,0.1779
105677,,0.88,,0.88,,0.909104545,,,,,,,,,,,,,,,,,,,,,,,0.5303
105701,,0.2558,,0.5581,,0.62066092,,,,,,,,,,,,,,,,,,,,0.6977,,,0.2521
105747,,0.0618,,0.1645,,0.157574337,,,,,,,,,,0.1873,0.0615,0.1488,0.1333,0.0571,0,0.2727,0.3333,0.1163,,0.637,,0.3312,0.1574
105792,,0.0871,,0.1652,,0.162866055,,,,,,,,,,0.3036,0.0857,0.1753,0.1667,0.0857,0,0,0,0.1154,,0.5968,,0.2941,0.2584
105899,0.4627,,0.6119,,0.548372581,,0.614,0.5,0.5,1,1,,,,,,,,,,,,,,0.7222,,,,0.463
105987,,0.3499,,0.6366,,0.612113613,,,,,,,,,,,,,,,,,,,,0.806,,,0.6326
106041,,0.2531,,0.6063,,0.631078503,,,,,,,,,,0.6592,0.1379,0.5811,0.6667,0.5,0.6944,0.6707,1,0.3256,,0.7299,,,0.6449
106102,0,,0.0235,,0.142819481,,0.0238,0,0.0909,0,0,,,0,0,,,,,,,,,,1,,,,0.3413
106111,,0,,0.4327,,0.46013681,,,,,,,,,,,,,,,,,,,,0.6667,,0.75,0.6556
106148,,0.1137,,0.1895,,0.176561791,,,,,,,,,,0.2184,0.2,0.175,,0,,0.4545,0.5,0.1034,,0.5,,0.3261,0.1584
106245,0.0814,,0.2654,,0.253134825,,0.3246,0.1567,0.3462,0.2727,0.3,,0.2857,,0.5,,,,,,,,,,0.7109,,0.5588,,0.4775
106263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6144
106281,,0.1579,,0.3684,,0.351324324,,,,,,,,,,,,,,,,,,,,0.5,,0.75,1
106306,0.0448,,0.194,,0.168367546,,0.2,0.1905,,,,,,0.3333,,,,,,,,,,,0.3636,,0.4667,,0.8695
106315,,0.2,,0.8,,0.5937375,,,,,,,,,,,,,,,,,,,,0.7143,,,0.9038
106324,,0.2692,,0.5385,,0.500035714,,,,,,,,,,,,,,,,,,,,0.4737,,1,0.9077
106342,0.4902,,0.4902,,0.493877143,,0.506,0.3333,,0,0.3333,,,0,0.7143,,,,,,,,,,0.7414,,,,0.674
106351,,0.0833,,0.6389,,0.65001,,,,,,,,,,,,,,,,,,,,0.8571,,,0.8062
106360,,0.2889,,0.7111,,0.67500625,,,,,,,,,,,,,,,,,,,,0.7778,,,0.6087
106397,0.3722,,0.6228,,0.612086197,,0.6365,0.4364,0.6064,0.6707,0.5484,1,0.5,0.7222,0.5385,,,,,,,,,,0.8284,,0.641,,0.4026
106412,0.0977,,0.2721,,0.265859033,,0.3636,0.2663,0.3333,,,,,0.6,0,,,,,,,,,,0.6223,,0.1818,,0.7422
106449,,0.2486,,0.3924,,0.372401408,,,,,,,,,,0.4028,0.1628,0.4583,0.5,0.5,0.3333,0.375,0.2857,,,0.5648,,0.3167,0.1192
106458,0.202,,0.393,,0.381700412,,0.4754,0.2775,0.3462,0.3333,0.5714,,,0.1,0.2946,,,,,,,,,,0.7454,,0.3636,,0.5342
106467,0.2438,,0.4455,,0.423297198,,0.4678,0.2533,0.2889,0.2857,0.36,,,0.4,,,,,,,,,,,0.6739,,0.6087,,0.4517
